"subject","condition","intended_hitrate","intended_falsealarmrate","actual_hitrate","actual_falsealarmrate","finalscore","colorbox_screentime","colorbox_averagescreentime","movingbox_screentime","switch1cnt","switch2cnt","switch3cnt","switch4cnt","totalswitches","switchback1cnt","switchback2cnt","switchback3cnt","switchback4cnt","falsealarmcnt","hitcnt","misscnt","falsealarmcount_1","falsealarmcount_2","falsealarmcount_3","falsealarmcount_4","hitcnt_1","hitcnt_2","hitcnt_3","hitcnt_4","misscnt_1","misscnt_2","misscnt_3","misscnt_4","averageRT_tosound","noswitchcnt_tosound","switchcnt_tosound","switchcnt_extra","critcnt","noncritcnt","totaltrials","totaltime","averagefiller","switchcnt_tosound_1","switchcnt_tosound_2","switchcnt_tosound_3","switchcnt_tosound_4","switchcnt_extra_1","switchcnt_extra_2","switchcnt_extra_3","switchcnt_extra_4","noswitchcnt_tosound_1","noswitchcnt_tosound_2","noswitchcnt_tosound_3","noswitchcnt_tosound_4","averageRT_tosound_1","averageRT_tosound_2","averageRT_tosound_3","averageRT_tosound_4"
"201","D","67","3",0.631578947368421,0.0175438596491228,18700,64470.6875000002,2387.80324074075,2333619.4754,8,10,4,5,27,7,10,4,6,1,36,21,0,1,0,0,9,8,7,12,5,5,5,6,4079.42083124998,21,16,11,57,57,114,2400138.28,7456.14035087719,2,3,4,7,5,3,3,0,7,6,3,5,6449.8689,4384.58410000002,5410.05945,2511.00077142852
"202","A","91","15",0.891891891891892,0.1,20419,141375.085700001,1625.00098505748,2256711.0769,15,26,31,15,87,14,27,31,15,7,66,8,2,1,1,3,14,18,17,17,1,2,1,4,1806.90616619718,2,71,16,74,70,144,2400164.2815,7451.38888888889,14,19,18,20,9,2,3,2,2,0,0,0,1799.96008571428,2252.81306315789,1532.36542222225,1635.24353999997
"203","B","85","10",0.866666666666667,0.0571428571428571,20907,69002.9464999991,971.872485915481,2330103.2745,9,19,17,26,71,9,19,17,26,4,65,10,1,2,0,1,17,19,10,19,1,0,6,3,1684.33163088238,1,68,3,75,70,145,2400888.323,7510.34482758621,18,21,10,19,2,1,0,0,0,0,0,1,1831.99367222222,1611.42550000001,1584.19060000004,1677.72754210533
"208","C","75","5",0.779411764705882,0.0422535211267606,21148,64665.6983999993,873.860789189179,2334433.5222,10,27,18,19,74,10,27,18,19,3,53,15,1,1,0,1,15,13,15,10,3,5,5,2,2219.62696250001,0,56,18,68,71,139,2400098.2777,7614.28571428571,16,14,15,11,10,4,3,1,0,0,0,0,1757.85054375,2185.55358571429,2520.07749333332,2524.96260000005
"209","C","75","5",0.784810126582278,0.0416666666666667,20585,76619.3826,758.607748514851,2322487.8385,26,38,17,20,101,26,38,17,20,3,62,17,0,3,0,0,13,22,13,14,5,1,5,6,1385.71002153845,0,65,36,79,72,151,2400152.2808,7271.52317880795,13,25,13,14,11,9,8,8,0,0,0,0,1404.69573076922,1371.03841600001,1292.99701538462,1480.37037857136
"210","B","85","10",0.794117647058823,0.0357142857142857,18426,52378.9961000004,1190.43172954546,2346727.2249,7,20,9,8,44,8,20,8,8,2,54,14,1,0,1,0,12,15,15,12,5,4,3,2,3577.17683055553,20,36,8,68,56,124,2400176.2822,7448,8,10,8,9,4,2,0,3,5,5,8,3,2646.02636249999,3126.37881,3915.47397499991,4785.94039999999
"211","A","91","15",0.891891891891892,0.148148148148148,21318,65930.7708999998,903.161245205477,2333177.4503,18,13,21,21,73,18,13,21,21,8,66,8,1,2,3,2,16,22,12,16,1,1,4,2,6124.27481320755,21,53,20,74,54,128,2400210.2842,7367.1875,13,17,11,12,4,4,7,5,4,7,4,6,4598.49377692307,7228.64876470588,6002.43420909091,6324.36172500002
"213","C","75","5",0.695652173913043,0.0142857142857143,20613,43014.4596999992,672.100932812487,2356088.7611,13,40,3,8,64,13,40,3,8,1,48,21,0,0,0,1,12,13,10,13,4,4,8,5,1012.09870408164,0,49,15,69,70,139,2400087.2771,7546.76258992806,12,13,10,14,6,5,3,1,0,0,0,0,1113.14699999999,1003.67279230769,967.655330000003,965.055207142873
"215","A","91","15",0.901234567901235,0.0869565217391304,21751,80430.6006999986,935.23954302324,2319691.6785,35,23,15,13,86,35,23,15,13,6,73,8,2,0,2,2,19,19,20,15,2,1,3,2,1387.81355443038,0,79,7,81,69,150,2400701.3123,7773.33333333333,21,19,22,17,4,3,0,0,0,0,0,0,1462.98844285713,1349.28769999999,1360.53236818182,1373.31382941177
"216","B","85","10",0.9,0.103896103896104,20274,74658.2696999989,1008.89553648647,2325464.0095,34,30,4,6,74,35,29,4,6,8,63,7,3,2,1,2,15,14,22,12,2,2,0,3,1178.99701690143,0,71,3,70,77,147,2401011.33,7591.83673469388,18,16,23,14,3,0,0,0,0,0,0,0,1222.45880555556,1193.25575624998,1108.80256521741,1222.14132857151
