subject,condition,intended_hitrate,intended_falsealarmrate,actual_hitrate,actual_falsealarmrate,finalscore,falsealarmcnt,hitcnt,misscnt,falsealarmcount_1,falsealarmcount_2,falsealarmcount_3,falsealarmcount_4,hitcnt_1,hitcnt_2,hitcnt_3,hitcnt_4,misscnt_1,misscnt_2,misscnt_3,misscnt_4,averageRT_tosound,noswitchcnt_tosound,switchcnt_tosound,switchcnt_extra,critcnt,noncritcnt,totaltrials,switchcnt_tosound_1,switchcnt_tosound_2,switchcnt_tosound_3,switchcnt_tosound_4,switchcnt_extra_1,switchcnt_extra_2,switchcnt_extra_3,switchcnt_extra_4,noswitchcnt_tosound_1,noswitchcnt_tosound_2,noswitchcnt_tosound_3,noswitchcnt_tosound_4,averageRT_tosound_1,averageRT_tosound_2,averageRT_tosound_3,averageRT_tosound_4
201,D,67,3,0.631578947,0.01754386,18700,1,36,21,0,1,0,0,9,8,7,12,5,5,5,6,4079.420831,21,16,11,57,57,114,2,3,4,7,5,3,3,0,7,6,3,5,6449.8689,4384.5841,5410.05945,2511.000771
202,A,91,15,0.891891892,0.1,20419,7,66,8,2,1,1,3,14,18,17,17,1,2,1,4,1806.906166,2,71,16,74,70,144,14,19,18,20,9,2,3,2,2,0,0,0,1799.960086,2252.813063,1532.365422,1635.24354
203,B,85,10,0.866666667,0.057142857,20907,4,65,10,1,2,0,1,17,19,10,19,1,0,6,3,1684.331631,1,68,3,75,70,145,18,21,10,19,2,1,0,0,0,0,0,1,1831.993672,1611.4255,1584.1906,1677.727542
208,C,75,5,0.779411765,0.042253521,21148,3,53,15,1,1,0,1,15,13,15,10,3,5,5,2,2219.626963,0,56,18,68,71,139,16,14,15,11,10,4,3,1,0,0,0,0,1757.850544,2185.553586,2520.077493,2524.9626
209,C,75,5,0.784810127,0.041666667,20585,3,62,17,0,3,0,0,13,22,13,14,5,1,5,6,1385.710022,0,65,36,79,72,151,13,25,13,14,11,9,8,8,0,0,0,0,1404.695731,1371.038416,1292.997015,1480.370379
210,B,85,10,0.794117647,0.035714286,18426,2,54,14,1,0,1,0,12,15,15,12,5,4,3,2,3577.176831,20,36,8,68,56,124,8,10,8,9,4,2,0,3,5,5,8,3,2646.026362,3126.37881,3915.473975,4785.9404
211,A,91,15,0.891891892,0.148148148,21318,8,66,8,1,2,3,2,16,22,12,16,1,1,4,2,6124.274813,21,53,20,74,54,128,13,17,11,12,4,4,7,5,4,7,4,6,4598.493777,7228.648765,6002.434209,6324.361725
213,C,75,5,0.695652174,0.014285714,20613,1,48,21,0,0,0,1,12,13,10,13,4,4,8,5,1012.098704,0,49,15,69,70,139,12,13,10,14,6,5,3,1,0,0,0,0,1113.147,1003.672792,967.65533,965.0552071
215,A,91,15,0.901234568,0.086956522,21751,6,73,8,2,0,2,2,19,19,20,15,2,1,3,2,1387.813554,0,79,7,81,69,150,21,19,22,17,4,3,0,0,0,0,0,0,1462.988443,1349.2877,1360.532368,1373.313829
216,B,85,10,0.9,0.103896104,20274,8,63,7,3,2,1,2,15,14,22,12,2,2,0,3,1178.997017,0,71,3,70,77,147,18,16,23,14,3,0,0,0,0,0,0,0,1222.458806,1193.255756,1108.802565,1222.141329
217,B,85,10,0.873563218,0.125,19524,9,76,11,3,3,0,3,22,16,17,21,1,7,3,0,691.9913892,2,83,28,87,72,159,24,18,17,24,10,7,9,2,1,1,0,0,691.7062375,649.4815889,691.5101471,724.4997708
218,A,91,15,0.813333333,0.083333333,22198,6,61,14,3,0,1,2,13,15,14,19,3,4,3,4,1012.057879,0,67,1,75,72,147,16,15,15,21,1,0,0,0,0,0,0,0,1239.258375,957.3880933,1039.926133,858.0966905
219,D,67,3,0.625,0.017241379,20984,1,50,30,0,0,1,0,11,11,12,16,9,9,8,4,1602.228898,0,51,12,80,58,138,11,11,13,16,3,6,2,1,0,0,0,0,2509.870827,1196.432073,1689.788946,1186.06785
220,C,75,5,0.807692308,0.085365854,18502,7,63,15,4,2,0,1,20,17,12,14,4,3,4,4,966.7838657,0,70,69,78,82,160,24,19,12,15,19,20,11,19,0,0,0,0,934.6367958,997.636,1005.724167,947.9875667
221,C,75,5,0.766666667,0.057971014,18537,4,46,14,1,0,1,2,7,18,11,10,3,4,3,4,2298.464802,5,45,19,60,69,129,6,16,12,11,7,4,3,5,2,2,0,1,4372.7501,1918.609744,1959.8621,2088.937673
222,C,75,5,0.830188679,0.047619048,17588,3,44,9,1,1,1,0,11,9,14,10,3,2,2,2,4760.535447,28,19,18,53,63,116,9,6,1,3,4,2,7,5,3,4,14,7,4411.585667,5378.474317,1597.0913,5625.988433
223,A,91,15,0.909090909,0.161290323,20632,10,60,6,2,2,5,1,17,14,15,14,2,0,2,2,6872.003222,11,59,17,66,62,128,19,14,17,8,5,3,3,7,0,2,3,7,7476.006563,4710.769443,6603.554159,8831.755125
225,D,67,3,0.65,0.045454545,13652,3,39,21,1,1,1,0,12,10,10,7,7,4,7,3,1033.136021,3,39,38,60,66,126,13,10,11,5,24,5,3,6,0,1,0,2,932.2071615,965.25523,1084.971145,1317.27536
226,A,91,15,0.888888889,0.1,20131,7,64,8,1,2,1,3,15,20,10,19,2,3,1,2,1337.555372,0,71,3,72,70,142,16,22,11,22,0,1,1,1,0,0,0,0,1513.211544,1320.257332,1258.071945,1266.845182
227,C,75,5,0.835616438,0.066666667,18092,5,61,12,0,2,0,3,11,21,17,12,7,5,0,0,1597.3641,0,66,36,73,75,148,11,23,17,15,18,10,5,3,0,0,0,0,1879.380218,1535.000865,1656.565353,1419.081153
229,D,67,3,0.705882353,0.03125,21138,2,36,15,1,0,1,0,10,9,8,9,6,4,3,2,6700.783247,23,15,13,51,64,115,3,2,3,6,5,4,4,1,8,7,6,3,4817.275533,8519.4873,8051.460533,5138.460517
230,C,75,5,0.716666667,0.028571429,15631,2,43,17,0,0,1,1,12,11,12,8,6,2,2,7,3456.015852,1,44,24,60,70,130,11,11,13,9,10,7,4,3,1,0,0,0,6287.541445,2008.751255,3166.873431,2181.791467
232,A,91,15,0.863013699,0.083333333,17618,5,63,10,1,1,1,2,17,17,15,14,2,4,1,3,1664.928556,20,48,21,73,60,133,11,10,13,14,9,5,4,3,7,8,3,2,1849.560327,1239.6709,2075.041754,1442.796807
234,A,91,15,0.915662651,0.138461538,21308,9,76,7,3,1,2,3,14,20,21,21,2,2,1,2,3929.105689,1,84,11,83,65,148,16,21,23,24,7,1,0,3,1,0,0,0,3913.223819,3898.318205,3885.961404,4007.979258
235,D,67,3,0.583333333,0.030769231,19084,2,35,25,1,0,0,1,11,9,8,7,6,9,3,7,1521.114043,0,37,1,60,65,125,12,9,8,8,1,0,0,0,0,0,0,0,1449.499592,1379.8567,1722.0985,1586.465775
236,C,75,5,0.855072464,0.014925373,20889,1,59,10,0,1,0,0,14,18,14,13,5,2,1,2,2212.74323,0,60,16,69,67,136,14,18,14,13,7,5,4,1,0,1,0,0,2841.805393,2302.465028,1969.541229,1748.792338
237,D,67,3,0.675324675,0.044776119,20517,3,52,25,1,0,1,1,11,19,8,14,5,5,9,6,1002.85736,0,55,23,77,67,144,12,19,9,15,11,1,6,5,0,0,0,0,1050.060075,1000.267732,965.3885444,990.8566733
238,C,75,5,0.709677419,0.015625,20511,1,44,18,1,0,0,0,7,9,17,11,5,4,2,7,5292.416343,1,44,5,62,64,126,6,9,17,11,3,3,0,0,2,0,0,0,9313.86605,6932.840989,4436.489053,2495.051782
239,A,91,15,0.883116883,0.176470588,18916,12,68,9,5,0,5,2,17,16,17,18,1,2,4,2,1954.037136,13,67,20,77,68,145,15,10,21,20,13,3,3,2,7,6,1,0,3232.184867,1733.59915,1427.129252,1315.77525
240,B,85,10,0.912280702,0.09375,20000,6,52,5,1,4,1,0,13,13,13,13,1,1,2,1,4061.094355,29,29,14,57,64,121,7,8,6,7,4,4,5,2,7,9,8,6,5750.328943,3535.952225,2584.1478,4565.546857
241,B,85,10,0.8,0.148148148,17560,12,44,11,1,3,6,2,15,10,8,11,1,4,1,5,1445.822694,6,50,25,55,81,136,10,13,13,13,11,6,5,4,6,0,1,0,2505.94334,1214.069438,1177.759662,1145.142423
242,A,91,15,0.931506849,0.23255814,18926,20,68,5,8,5,2,5,21,15,15,17,1,2,1,1,1666.753559,9,79,45,73,86,159,25,15,16,22,12,12,9,13,4,5,1,0,2506.823384,1770.50128,1176.567288,1030.877136
243,D,67,3,0.610169492,0.056338028,18803,4,36,23,1,1,0,2,8,8,8,12,5,6,4,8,1537.412925,0,40,11,59,71,130,9,9,8,14,5,1,2,3,0,0,0,0,1417.525533,1613.536722,1340.826663,1677.881671
244,C,75,5,0.727272727,0.042253521,19778,3,56,21,0,0,1,2,16,12,13,15,5,5,7,4,1031.414937,0,59,40,77,71,148,16,12,14,17,16,9,8,7,0,0,0,0,1074.061437,1087.978908,1036.773593,946.9365353
